Date,Open,Low,High,Close,Volume,OI
2018/6/25,273.440002,269.100006,273.619995,271,137854200,0
2018/6/26,271.640015,270.790009,272.559998,271.600006,68547400,0
2018/6/27,272.26001,269.179993,273.869995,269.350006,105110700,0
2018/6/28,269.290009,268.48999,271.75,270.890015,76650500,0
2018/6/29,272.119995,271.149994,273.660004,271.279999,97592500,0
2018/7/2,269.51001,269.23999,272.040009,271.859985,63554800,0
2018/7/3,272.869995,270.420013,272.980011,270.899994,42187100,0
2018/7/5,272.170013,270.959991,273.179993,273.109985,56925900,0
2018/7/6,273.140015,272.709991,275.839996,275.420013,66493700,0
2018/7/9,276.549988,276.5,277.959991,277.899994,50550400,0
2018/7/10,278.410004,278.079987,279.01001,278.899994,51966800,0
2018/7/11,277.149994,276.519989,278.040009,276.859985,77054700,0
2018/7/12,278.279999,277.600006,279.429993,279.369995,60124700,0
2018/7/13,279.170013,278.660004,279.929993,279.589996,48216000,0
2018/7/16,279.640015,278.839996,279.799988,279.339996,48201000,0
2018/7/17,278.470001,278.410004,280.910004,280.470001,52315500,0
2018/7/18,280.559998,280.059998,281.179993,281.059998,44593500,0
2018/7/19,280.309998,279.459991,280.73999,280,61412100,0
2018/7/20,279.769989,279.5,280.480011,279.679993,82337700,0
2018/7/23,279.450012,279.059998,280.429993,280.200012,47047600,0
2018/7/24,281.790009,280.630005,282.559998,281.609985,68026900,0
2018/7/25,281.329987,281.279999,284.369995,284.01001,78882900,0
2018/7/26,283.200012,283.089996,284.109985,283.339996,57919500,0
2018/7/27,283.709991,280.380005,283.820007,281.420013,76768700,0
2018/7/30,281.51001,279.359985,281.690002,279.950012,63742500,0
2018/7/31,280.809998,280.380005,282.019989,281.329987,68570500,0
2018/8/1,281.559998,280.130005,282.130005,280.859985,53853300,0
2018/8/2,279.390015,279.160004,282.579987,282.390015,63426400,0
2018/8/3,282.529999,282.329987,283.660004,283.600006,53935400,0
2018/8/6,283.640015,283.200012,284.98999,284.640015,39400900,0
2018/8/7,285.390015,285.23999,286.01001,285.579987,43196600,0
2018/8/8,285.390015,284.940002,285.910004,285.459991,42114600,0
2018/8/9,285.529999,284.920013,285.970001,285.070007,35717000,0
2018/8/10,283.450012,282.359985,284.059998,283.160004,77076000,0
2018/8/13,283.470001,281.769989,284.160004,282.100006,65732900,0
2018/8/14,282.920013,282.480011,284.170013,283.899994,43842000,0
2018/8/15,282.380005,280.160004,282.540009,281.779999,102925400,0
2018/8/16,283.399994,283.359985,285.040009,284.059998,69967900,0
2018/8/17,283.829987,283.369995,285.559998,285.059998,65618500,0
2018/8/20,285.570007,285.059998,285.970001,285.670013,39807500,0
2018/8/21,286.25,285.709991,287.309998,286.339996,67272000,0
2018/8/22,285.880005,285.579987,286.76001,286.170013,44993300,0
2018/8/23,285.970001,285.429993,286.940002,285.790009,49204900,0
2018/8/24,286.440002,286.380005,287.670013,287.51001,57487400,0
2018/8/27,288.859985,288.679993,289.899994,289.779999,57072400,0
2018/8/28,290.299988,289.399994,290.420013,289.920013,46943500,0
2018/8/29,290.160004,289.890015,291.73999,291.480011,61485500,0
2018/8/30,290.940002,289.630005,291.359985,290.299988,61229500,0
2018/8/31,289.839996,289.290009,290.809998,290.309998,66140800,0
2018/9/4,289.839996,288.679993,290.209991,289.809998,57594400,0
2018/9/5,289.410004,287.890015,289.640015,289.029999,72452400,0
2018/9/6,289.149994,287,289.48999,288.160004,65909900,0
2018/9/7,286.980011,286.709991,288.700012,287.600006,73524800,0
2018/9/10,288.73999,287.880005,289.040009,288.100006,50210900,0
2018/9/11,287.369995,286.980011,289.549988,289.049988,50530500,0
2018/9/12,289.059998,288.230011,289.799988,289.119995,59810800,0
2018/9/13,290.320007,290,291.040009,290.829987,51034200,0
2018/9/14,291.059998,290,291.269989,290.880005,55079900,0
2018/9/17,290.820007,289.029999,290.859985,289.339996,68244000,0
2018/9/18,289.579987,289.549988,291.579987,290.910004,61930400,0
2018/9/19,290.970001,290.829987,291.690002,291.220001,49080600,0
2018/9/20,292.640015,291.23999,293.940002,293.579987,100360600,0
2018/9/21,293.089996,291.809998,293.220001,291.98999,105479700,0
2018/9/24,291.339996,290.369995,291.5,291.019989,53409600,0
2018/9/25,291.529999,290.480011,291.649994,290.75,44370000,0
2018/9/26,290.910004,289.410004,292.23999,289.880005,79739700,0
2018/9/27,290.410004,290.100006,291.910004,290.690002,59249500,0
2018/9/28,289.98999,289.950012,291.279999,290.720001,70091400,0
2018/10/1,292.109985,290.980011,292.929993,291.730011,62078900,0
2018/10/2,291.559998,291.140015,292.359985,291.559998,47258200,0
2018/10/3,292.73999,291.320007,293.209991,291.720001,64694600,0
2018/10/4,291.179993,287.660004,291.23999,289.440002,111545900,0
2018/10/5,289.690002,286.220001,290.269989,287.820007,105951700,0
2018/10/8,287.049988,285.5,288.220001,287.820007,87742200,0
2018/10/9,287.390015,286.769989,288.859985,287.399994,74339000,0
2018/10/10,286.829987,277.880005,286.910004,278.299988,214731000,0
2018/10/11,277.079987,270.359985,278.899994,272.170013,274840500,0
2018/10/12,276.769989,272.369995,277.089996,275.950012,183186500,0
2018/10/15,275.549988,274.299988,277.040009,274.399994,102263700,0
2018/10/16,276.600006,276.070007,280.820007,280.399994,118255800,0
2018/10/17,280.440002,277.559998,281.149994,280.450012,110626000,0
2018/10/18,279.399994,274.970001,280.070007,276.399994,134557500,0
2018/10/19,277.130005,275.470001,279.299988,276.25,139901600,0
2018/10/22,277,274.410004,277.359985,275.01001,82415800,0
2018/10/23,270.950012,268.609985,274.869995,273.609985,146352700,0
2018/10/24,273.329987,264.700012,273.76001,265.320007,177806700,0
2018/10/25,267.380005,266.230011,271.809998,270.079987,138061500,0
2018/10/26,265.920013,262.290009,271,265.329987,201574600,0
2018/10/29,268.799988,259.850006,270.25,263.859985,160749100,0
2018/10/30,263.670013,263.119995,268.119995,267.769989,157116000,0
2018/10/31,270.649994,270.119995,273.230011,270.630005,128296300,0
2018/11/1,271.600006,270.380005,273.730011,273.51001,99495000,0
2018/11/2,274.75,269.589996,275.230011,271.890015,122634100,0
2018/11/5,272.440002,271.350006,274.01001,273.390015,65622500,0
2018/11/6,273.320007,273.25,275.299988,275.119995,60085900,0
2018/11/7,277.559998,277.079987,281.100006,281.01001,102752100,0
2018/11/8,280.109985,279.220001,281.220001,280.5,65584900,0
2018/11/9,279.029999,276.179993,279.23999,277.76001,98812600,0
2018/11/12,277.190002,271.98999,277.459991,272.570007,99673600,0
2018/11/13,273.089996,271.25,275.329987,272.059998,98176600,0
2018/11/14,274.160004,268.450012,274.609985,270.200012,125335900,0
2018/11/15,268.779999,267.01001,273.540009,273.019989,135101400,0
2018/11/16,271.790009,271.209991,274.75,273.730011,126668000,0
2018/11/19,273.049988,268.070007,273.380005,269.100006,103061700,0
2018/11/20,265.359985,263.149994,267,264.119995,136021300,0
2018/11/21,265.859985,265.01001,267.149994,265.019989,75563700,0
2018/11/23,263.179993,263.070007,264.820007,263.25,42807900,0
2018/11/26,265.779999,265.339996,267.75,267.5,79981400,0
2018/11/27,266.339996,265.660004,268.399994,268.399994,75502400,0
2018/11/28,269.600006,268.329987,274.579987,274.579987,127629600,0
2018/11/29,273.709991,272.429993,275.549988,273.980011,82346400,0
2018/11/30,273.809998,273.450012,276.279999,275.649994,98204200,0
2018/12/3,280.279999,277.51001,280.399994,279.299988,103176300,0
2018/12/4,278.369995,269.899994,278.850006,270.25,177986000,0
2018/12/6,265.920013,262.440002,269.970001,269.839996,204185400,0
2018/12/7,269.459991,262.630005,271.220001,263.570007,161018900,0
2018/12/10,263.369995,258.619995,265.160004,264.070007,151445900,0
2018/12/11,267.660004,262.480011,267.869995,264.130005,121504400,0
2018/12/12,267.470001,265.369995,269,265.459991,97976700,0
2018/12/13,266.519989,264.119995,267.48999,265.369995,96662700,0
2018/12/14,262.959991,259.850006,264.029999,260.470001,116961100,0
2018/12/17,259.399994,253.529999,260.649994,255.360001,165492300,0
2018/12/18,257.200012,253.279999,257.950012,255.080002,134515100,0
2018/12/19,255.169998,249.350006,259.399994,251.259995,214992800,0
2018/12/20,249.860001,244.649994,251.619995,247.169998,252053400,0
2018/12/21,246.740005,239.979996,249.710007,240.699997,255345600,0
2018/12/24,239.039993,234.270004,240.839996,234.339996,147311600,0
2018/12/26,235.970001,233.759995,246.179993,246.179993,218485400,0
2018/12/27,242.570007,238.960007,248.289993,248.070007,186267300,0
2018/12/28,249.580002,246.449997,251.399994,247.75,153100200,0
2018/12/31,249.559998,247.470001,250.190002,249.919998,144299400,0
2019/1/2,245.979996,245.949997,251.210007,250.179993,126925200,0
2019/1/3,248.229996,243.669998,248.570007,244.210007,144140700,0
2019/1/4,247.589996,247.169998,253.110001,252.389999,142628800,0
2019/1/7,252.690002,251.690002,255.949997,254.380005,103139100,0
2019/1/8,256.820007,254,257.309998,256.769989,102512600,0
2019/1/9,257.559998,256.190002,258.910004,257.970001,95006600,0
2019/1/10,256.26001,255.5,259.160004,258.880005,96823900,0
2019/1/11,257.679993,257.029999,259.01001,258.980011,73858100,0
2019/1/14,256.859985,256.410004,258.299988,257.399994,70908200,0
2019/1/15,257.820007,257.809998,260.700012,260.350006,85208300,0
2019/1/16,260.829987,260.600006,261.970001,260.980011,77636700,0
2019/1/17,260.01001,259.959991,263.920013,262.959991,96118400,0
2019/1/18,264.980011,263,266.980011,266.459991,127900300,0
2019/1/22,264.820007,261.059998,265.059998,262.859985,115531200,0
2019/1/23,264.01001,260.660004,264.790009,263.410004,86030300,0
2019/1/24,263.209991,262.079987,264.200012,263.549988,59204100,0
2019/1/25,265.609985,263.660004,266.700012,265.779999,96883400,0
2019/1/28,263.390015,261.790009,263.829987,263.76001,85613700,0
2019/1/29,263.920013,262.480011,264.549988,263.410004,66136300,0
2019/1/30,265.100006,264.25,268.519989,267.579987,92473700,0
2019/1/31,267.51001,267.269989,270.470001,269.929993,104012100,0
2019/2/1,270.149994,269.179993,271.200012,270.059998,85782500,0
2019/2/4,270.109985,269.359985,272.029999,271.959991,60744800,0
2019/2/5,272.440002,271.880005,273.440002,273.100006,79552800,0
2019/2/6,272.790009,271.920013,273.339996,272.73999,58347800,0
2019/2/7,270.940002,268.290009,271.549988,270.140015,95482000,0
2019/2/8,268.75,267.829987,270.579987,270.470001,75788900,0
2019/2/11,271.200012,270.029999,271.48999,270.619995,68021400,0
2019/2/12,272.420013,272.339996,274.519989,274.100006,72270200,0
2019/2/13,275.029999,274.559998,275.929993,274.98999,65277200,0
2019/2/14,273.779999,272.869995,275.640015,274.380005,83234400,0
2019/2/15,276.359985,276.130005,277.410004,277.369995,97088700,0
2019/2/19,276.480011,276.470001,278.579987,277.850006,59120800,0
2019/2/20,277.809998,277.25,278.920013,278.410004,76610800,0
2019/2/21,277.700012,276.350006,278.100006,277.420013,64214700,0
2019/2/22,278.109985,277.399994,279.359985,279.140015,78114600,0
2019/2/25,280.730011,279.429993,281.309998,279.519989,69030700,0
2019/2/26,279.130005,278.899994,280.299988,279.320007,56844100,0
2019/2/27,278.519989,277.480011,279.589996,279.200012,56921600,0
2019/2/28,278.959991,278.320007,279.450012,278.679993,69268300,0
2019/3/1,280.440002,278.820007,280.880005,280.420013,78880500,0
2019/3/4,281.600006,276.839996,281.869995,279.399994,106494600,0
2019/3/5,279.540009,278.410004,279.76001,279.019989,59114600,0
2019/3/6,279.149994,276.970001,279.160004,277.329987,75039800,0
2019/3/7,276.829987,274.070007,276.98999,275.01001,94885100,0
2019/3/8,272.940002,272.420013,274.649994,274.459991,85795800,0
